subject,type,label
http://purl.obolibrary.org/obo/OBI_0002243,http://www.w3.org/2002/07/owl#Class,pathologic primary tumor stage for kidney according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002244,http://purl.obolibrary.org/obo/OBI_0002243,pT0 (kidney)
http://purl.obolibrary.org/obo/OBI_0002244,http://www.w3.org/2002/07/owl#NamedIndividual,pT0 (kidney)
http://purl.obolibrary.org/obo/OBI_0002245,http://purl.obolibrary.org/obo/OBI_0002243,pT1 (kidney)
http://purl.obolibrary.org/obo/OBI_0002245,http://www.w3.org/2002/07/owl#NamedIndividual,pT1 (kidney)
http://purl.obolibrary.org/obo/OBI_0002246,http://purl.obolibrary.org/obo/OBI_0002243,pT1a (kidney)
http://purl.obolibrary.org/obo/OBI_0002246,http://www.w3.org/2002/07/owl#NamedIndividual,pT1a (kidney)
http://purl.obolibrary.org/obo/OBI_0002247,http://purl.obolibrary.org/obo/OBI_0002243,pT1b (kidney)
http://purl.obolibrary.org/obo/OBI_0002247,http://www.w3.org/2002/07/owl#NamedIndividual,pT1b (kidney)
http://purl.obolibrary.org/obo/OBI_0002248,http://purl.obolibrary.org/obo/OBI_0002243,pT2 (kidney)
http://purl.obolibrary.org/obo/OBI_0002248,http://www.w3.org/2002/07/owl#NamedIndividual,pT2 (kidney)
http://purl.obolibrary.org/obo/OBI_0002249,http://purl.obolibrary.org/obo/OBI_0002243,pT2a (kidney)
http://purl.obolibrary.org/obo/OBI_0002249,http://www.w3.org/2002/07/owl#NamedIndividual,pT2a (kidney)
http://purl.obolibrary.org/obo/OBI_0002250,http://purl.obolibrary.org/obo/OBI_0002243,pT2b (kidney)
http://purl.obolibrary.org/obo/OBI_0002250,http://www.w3.org/2002/07/owl#NamedIndividual,pT2b (kidney)
http://purl.obolibrary.org/obo/OBI_0002251,http://purl.obolibrary.org/obo/OBI_0002243,pT3 (kidney)
http://purl.obolibrary.org/obo/OBI_0002251,http://www.w3.org/2002/07/owl#NamedIndividual,pT3 (kidney)
http://purl.obolibrary.org/obo/OBI_0002252,http://purl.obolibrary.org/obo/OBI_0002243,pT3a (kidney)
http://purl.obolibrary.org/obo/OBI_0002252,http://www.w3.org/2002/07/owl#NamedIndividual,pT3a (kidney)
http://purl.obolibrary.org/obo/OBI_0002253,http://purl.obolibrary.org/obo/OBI_0002243,pT3b (kidney)
http://purl.obolibrary.org/obo/OBI_0002253,http://www.w3.org/2002/07/owl#NamedIndividual,pT3b (kidney)
http://purl.obolibrary.org/obo/OBI_0002254,http://purl.obolibrary.org/obo/OBI_0002243,pT3c (kidney)
http://purl.obolibrary.org/obo/OBI_0002254,http://www.w3.org/2002/07/owl#NamedIndividual,pT3c (kidney)
http://purl.obolibrary.org/obo/OBI_0002255,http://purl.obolibrary.org/obo/OBI_0002243,pT4 (kidney)
http://purl.obolibrary.org/obo/OBI_0002255,http://www.w3.org/2002/07/owl#NamedIndividual,pT4 (kidney)
http://purl.obolibrary.org/obo/OBI_0002256,http://www.w3.org/2002/07/owl#Class,pathologic primary tumor stage for ovary according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002257,http://purl.obolibrary.org/obo/OBI_0002256,pT0 (ovary)
http://purl.obolibrary.org/obo/OBI_0002257,http://www.w3.org/2002/07/owl#NamedIndividual,pT0 (ovary)
http://purl.obolibrary.org/obo/OBI_0002258,http://purl.obolibrary.org/obo/OBI_0002256,pT1 (ovary)
http://purl.obolibrary.org/obo/OBI_0002258,http://www.w3.org/2002/07/owl#NamedIndividual,pT1 (ovary)
http://purl.obolibrary.org/obo/OBI_0002259,http://purl.obolibrary.org/obo/OBI_0002256,pT1a (ovary)
http://purl.obolibrary.org/obo/OBI_0002259,http://www.w3.org/2002/07/owl#NamedIndividual,pT1a (ovary)
http://purl.obolibrary.org/obo/OBI_0002260,http://purl.obolibrary.org/obo/OBI_0002256,pT1b (ovary)
http://purl.obolibrary.org/obo/OBI_0002260,http://www.w3.org/2002/07/owl#NamedIndividual,pT1b (ovary)
http://purl.obolibrary.org/obo/OBI_0002261,http://purl.obolibrary.org/obo/OBI_0002256,pT1c (ovary)
http://purl.obolibrary.org/obo/OBI_0002261,http://www.w3.org/2002/07/owl#NamedIndividual,pT1c (ovary)
http://purl.obolibrary.org/obo/OBI_0002262,http://purl.obolibrary.org/obo/OBI_0002256,pT2 (ovary)
http://purl.obolibrary.org/obo/OBI_0002262,http://www.w3.org/2002/07/owl#NamedIndividual,pT2 (ovary)
http://purl.obolibrary.org/obo/OBI_0002263,http://purl.obolibrary.org/obo/OBI_0002256,pT2a (ovary)
http://purl.obolibrary.org/obo/OBI_0002263,http://www.w3.org/2002/07/owl#NamedIndividual,pT2a (ovary)
http://purl.obolibrary.org/obo/OBI_0002264,http://purl.obolibrary.org/obo/OBI_0002256,pT2b (ovary)
http://purl.obolibrary.org/obo/OBI_0002264,http://www.w3.org/2002/07/owl#NamedIndividual,pT2b (ovary)
http://purl.obolibrary.org/obo/OBI_0002265,http://purl.obolibrary.org/obo/OBI_0002256,pT2c (ovary)
http://purl.obolibrary.org/obo/OBI_0002265,http://www.w3.org/2002/07/owl#NamedIndividual,pT2c (ovary)
http://purl.obolibrary.org/obo/OBI_0002266,http://purl.obolibrary.org/obo/OBI_0002256,pT3 (ovary)
http://purl.obolibrary.org/obo/OBI_0002266,http://www.w3.org/2002/07/owl#NamedIndividual,pT3 (ovary)
http://purl.obolibrary.org/obo/OBI_0002267,http://purl.obolibrary.org/obo/OBI_0002256,pT3a (ovary)
http://purl.obolibrary.org/obo/OBI_0002267,http://www.w3.org/2002/07/owl#NamedIndividual,pT3a (ovary)
http://purl.obolibrary.org/obo/OBI_0002268,http://purl.obolibrary.org/obo/OBI_0002256,pT3b (ovary)
http://purl.obolibrary.org/obo/OBI_0002268,http://www.w3.org/2002/07/owl#NamedIndividual,pT3b (ovary)
http://purl.obolibrary.org/obo/OBI_0002269,http://purl.obolibrary.org/obo/OBI_0002256,pT3c (ovary)
http://purl.obolibrary.org/obo/OBI_0002269,http://www.w3.org/2002/07/owl#NamedIndividual,pT3c (ovary)
http://purl.obolibrary.org/obo/OBI_0002270,http://www.w3.org/2002/07/owl#Class,pathologic lymph node stage for colon and rectum according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002271,http://purl.obolibrary.org/obo/OBI_0002270,pN0 (colon)
http://purl.obolibrary.org/obo/OBI_0002271,http://www.w3.org/2002/07/owl#NamedIndividual,pN0 (colon)
http://purl.obolibrary.org/obo/OBI_0002272,http://purl.obolibrary.org/obo/OBI_0002270,pN1 (colon)
